Name,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK
Opel Mokka-e ,8.5,150 km/h,255 km,176 Wh/km,340 km/h,Front Wheel Drive,5,"34,110","30,540"
Skoda Enyaq iV 60,8.7,160 km/h,330 km,176 Wh/km,420 km/h,Rear Wheel Drive,5,"38,850","31,995"
Skoda Enyaq iV 80,8.6,160 km/h,420 km,183 Wh/km,510 km/h,Rear Wheel Drive,5,"43,950","39,350"
Skoda Enyaq iV 80X,6.9,160 km/h,405 km,190 Wh/km,500 km/h,All Wheel Drive,5,"47,000","42,000"
Skoda Enyaq iV RS,6.2,180 km/h,395 km,195 Wh/km,480 km/h,All Wheel Drive,5,"50,000","45,000"
Fiat 500e Hatchback 42 kWh,9,150 km/h,250 km,149 Wh/km,420 km/h,Front Wheel Drive,4,"27,560","23,995"
Citroen e-C4 ,9.7,150 km/h,250 km,180 Wh/km,330 km/h,Front Wheel Drive,5,"34,640","30,895"
Jaguar I-Pace EV400,4.8,200 km/h,365 km,232 Wh/km,340 km/h,All Wheel Drive,5,"77,300","65,195"
Kia e-Soul 64 kWh,7.9,167 km/h,370 km,173 Wh/km,350 km/h,Front Wheel Drive,5,"37,790",N/A
Kia e-Soul 39 kWh,9.9,157 km/h,230 km,170 Wh/km,220 km/h,Front Wheel Drive,5,"33,990",N/A
Audi Q4 Sportback e-tron 35,9,160 km/h,295 km,175 Wh/km,410 km/h,Rear Wheel Drive,5,"43,900","42,250"
Nissan Ariya 63kWh,7.5,160 km/h,335 km,188 Wh/km,450 km/h,Front Wheel Drive,5,"45,000","40,000"
Nissan Ariya 87kWh,7.6,160 km/h,445 km,196 Wh/km,530 km/h,Front Wheel Drive,5,"50,000","45,000"
Nissan Ariya e-4ORCE 63kWh,5.9,200 km/h,325 km,194 Wh/km,440 km/h,All Wheel Drive,5,"50,000","45,000"
Nissan Ariya e-4ORCE 87kWh,5.7,200 km/h,420 km,207 Wh/km,500 km/h,All Wheel Drive,5,"57,500","52,500"
